qid	run	nDCG@10	delta_nDCG@10	nDCG@20	delta_nDCG@20	Recall@100	delta_Recall@100	Recall@1000	delta_Recall@1000	MAP	delta_MAP
515	Ensemble-o6-m1-b1	0.296457	0.006936	0.302263	-0.008397	0.056912	-0.001876	0.202320	0.082460	0.079205	0.025475
515	Ensemble-o8-m1-b1	0.300113	0.010591	0.304592	-0.006068	0.055680	-0.003108	0.202320	0.082460	0.078360	0.024631
515	Ensemble-o4-m05-b1	0.293278	0.003757	0.304886	-0.005774	0.059376	0.000588	0.202320	0.082460	0.079639	0.025910
515	Ensemble-o4-m1-b05	0.290324	0.000803	0.297989	-0.012671	0.056583	-0.002205	0.202320	0.082460	0.079177	0.025447
515	Ensemble-o6-m05-b1	0.299194	0.009673	0.304125	-0.006535	0.055680	-0.003108	0.202320	0.082460	0.078348	0.024619
707	BM25	0.333070	0.000000	0.340761	0.000000	0.098421	0.000000	0.196782	0.000000	0.096517	0.000000
707	MiniLM-o4	0.341528	0.008459	0.395284	0.054523	0.101734	0.003314	0.297690	0.100909	0.146009	0.049492
707	BGE-o2	0.408866	0.075797	0.403193	0.062432	0.105567	0.007147	0.297690	0.100909	0.173476	0.076959
707	BGE-o4	0.382791	0.049721	0.393222	0.052461	0.101517	0.003096	0.297690	0.100909	0.166180	0.069662
707	Ensemble-o4-m1-b1	0.418772	0.085703	0.410969	0.070208	0.096349	-0.002072	0.297690	0.100909	0.159878	0.063360
